Filename			UTMX		UTMY		UTMZ		Omega		Phi		Kappa
100_0005_0001.JPG	292225.202265	4147587.117453	184.362047	-0.548929	0.167442	156.371025
100_0005_0002.JPG	292212.645879	4147561.550193	184.370369	-1.309624	-0.126341	161.213920
100_0005_0003.JPG	292200.069215	4147534.762479	184.422336	-1.417929	-0.260574	162.203105
100_0005_0004.JPG	292187.631008	4147507.828936	184.397560	-1.286730	-0.322917	163.647368
100_0005_0005.JPG	292175.306230	4147481.194756	184.370576	-1.298212	-0.309673	163.492188
100_0005_0006.JPG	292163.022418	4147454.439549	184.300562	-1.382263	-0.226344	163.603809
100_0005_0007.JPG	292150.969208	4147427.672323	184.286683	-1.364875	-0.197914	163.618877
100_0005_0008.JPG	292138.428942	4147400.686143	184.396628	-1.372270	-0.118108	163.429531
100_0005_0009.JPG	292125.845322	4147373.753013	184.409406	-1.267109	-0.042142	163.641768
100_0005_0010.JPG	292113.625196	4147346.894404	184.388151	-1.128096	-0.018116	163.286219
100_0005_0011.JPG	292101.203868	4147320.056410	184.372393	-0.993217	-0.007950	163.424501
100_0005_0012.JPG	292089.170526	4147293.307272	184.305115	-0.872775	-0.018605	162.958374
100_0005_0013.JPG	292076.414818	4147266.375965	184.450767	-0.734135	-0.024660	162.636695
100_0005_0014.JPG	292064.036777	4147239.410126	184.299580	-0.659698	-0.093351	163.032543
100_0005_0015.JPG	292051.640552	4147212.602491	184.391522	-0.496100	-0.081740	163.634697
100_0005_0018.JPG	292116.284040	4147192.118186	184.352601	0.089712	-0.669944	-20.376919
100_0005_0019.JPG	292128.690975	4147218.960273	184.413367	0.079000	-0.432258	-18.471503
100_0005_0020.JPG	292141.064417	4147245.941723	184.398659	-0.004177	-0.280318	-19.134860
100_0005_0021.JPG	292153.496120	4147272.902896	184.348781	-0.109161	-0.162272	-19.047638
100_0005_0022.JPG	292165.879280	4147299.788367	184.355242	-0.174668	-0.120789	-19.050447
100_0005_0023.JPG	292178.304926	4147326.608065	184.373704	-0.147930	-0.090886	-17.830825
100_0005_0024.JPG	292190.673838	4147353.518558	184.336391	-0.172263	-0.131696	-16.817378
100_0005_0025.JPG	292203.130140	4147380.183074	184.304054	-0.201459	-0.194571	-16.058248
100_0005_0026.JPG	292215.494333	4147407.223294	184.378448	-0.207925	-0.224878	-13.951313
100_0005_0027.JPG	292227.521379	4147433.941925	184.419172	-0.199829	-0.242881	-13.056631
100_0005_0028.JPG	292239.963401	4147460.742674	184.394637	-0.101190	-0.218440	-11.806918
100_0005_0029.JPG	292252.317767	4147487.968176	184.370520	-0.141230	-0.210592	-11.833651
100_0005_0030.JPG	292264.941686	4147514.585224	184.354003	-0.067374	-0.222202	-10.961870
100_0005_0031.JPG	292277.428656	4147541.499221	184.417364	-0.057877	-0.178453	-10.006668
100_0005_0035.JPG	292332.841897	4147501.212282	184.375176	-0.196766	0.266502	166.705053
100_0005_0036.JPG	292320.562162	4147474.314657	184.346240	-0.263703	0.181666	164.142905
100_0005_0037.JPG	292308.008225	4147447.454962	184.344893	-0.266418	0.117471	163.427695
100_0005_0038.JPG	292295.855903	4147420.520283	184.354004	-0.290468	0.099173	162.994299
100_0005_0039.JPG	292283.317040	4147393.774525	184.388706	-0.231946	0.043693	162.470347
100_0005_0040.JPG	292270.892242	4147366.874529	184.391500	-0.231359	0.010575	161.619276
100_0005_0041.JPG	292258.558331	4147339.972542	184.338423	-0.209841	0.023809	160.915796
100_0005_0042.JPG	292246.141540	4147313.103168	184.351915	-0.206174	0.050801	160.856510
100_0005_0043.JPG	292233.679851	4147286.210161	184.332423	-0.193424	0.078353	160.160246
100_0005_0044.JPG	292221.351850	4147259.363369	184.347252	-0.144135	0.053940	159.573977
100_0005_0045.JPG	292208.934449	4147232.565019	184.325332	-0.111697	0.096169	159.451055
100_0005_0046.JPG	292196.683452	4147205.747496	184.406772	-0.132783	0.097569	159.487950
